Sample in Buffer,Sample in Window,TRIGGER,design_1_i/fulltopHDC_0/U0/HDCOTFGEn/BV[999:900],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/cls/CST/hv[2:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/cls/CST/countSimArr[0].comp/compArr[1].comp/class[127:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/cls/CST/countSimArr[0].comp/compArr[1].comp/hv[0:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/QHV[335:0],design_1_i/fulltopHDC_0/U0/HDCOTFGEn/doneEncoderToClassifier
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
61,61,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
62,62,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
63,63,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
64,64,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
65,65,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
66,66,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
67,67,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
68,68,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
69,69,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
70,70,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
71,71,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
72,72,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
73,73,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
74,74,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
75,75,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
76,76,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
77,77,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
78,78,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
79,79,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
80,80,0,39d0e231561116116f8a1b1fc,0,7f0efef8100227f0760ed407c43bec3c,0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0
